course_code,section,title,credit_hours,meeting_info,instructor,description,section_description,section_expectations,evaluation,soc_comments,semester,prerequisites,other_requirements,uncertain
CS 1080,"Section A, CRN 91695",Intro to Web Site Dev,3,TTh 4:25pm-5:40pm in JAMES M JEFFORDS HALL 127 (8/25 to 12/5),Murat Gungor,"Provides a strong foundation in HTML, CSS, images, beginning web programming, and web design so that the student can create a complete functional web site in a team based final project.","Lays a foundation in website coding with HTML, CSS, JavaScript, images, and basic web design, empowering students to create a functional website.",Assumes no prior experience with programming.,"Quizzes, Active Learning Exercises, Lab Exercises, Projects",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1210,"Section F, CRN 92166",Comp Prog I: for CS majors,3,TTh 2:50pm-4:05pm in MARSH LIFE SCI 105 (8/25 to 12/5),Sami Connolly,Introduction to algorithmic problem solving and computer programming. Designed to provide a foundation for further studies in computer science.,Introduction to programming and computer science with Python.,Assumes no prior experience with programming. Student should have high school algebra.,,"Open to CS, CSIS, and DS majors only",Fall 2025,,"['Open to CS, CSIS, and DS majors only']",False
CS 1210,"Section B, CRN 90147",Computer Programming I,3,TTh 8:30am-9:45am in VOTEY BLDG 207 (8/25 to 12/5),Sami Connolly,Introduction to algorithmic problem solving and computer programming. Designed to provide a foundation for further studies in computer science.,Introduction to programming with Python.,Assumes no prior experience with programming.,"Weekly homework, lab and active learning exercises. Two exams (no final exam). Final project.",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1320,"Section A, CRN 94171","Puzzles, Games & Algorithms",3,MWF 10:50am-11:40am in VOTEY BLDG 303 (8/25 to 12/5),Lisa Dion,"Introductory computer science through exploration and analysis of mathematical puzzles and games, and the algorithms that handle them. Prerequisite: No credit if taken after CS 2100.","In this course, you will explore computational thinking through the analysis of mathematical puzzles and games, and the algorithms that handle them. Learning objectives include:
- To engage in productive struggle and data collection to solve common puzzles and understand common mathematical games through computational thinking
- To understand, appreciate, and communicate various approaches and algorithms to solving the games and puzzles
- To connect the puzzles and games to real-world applications and transfer the knowledge and understanding to help shape real-world decisions and actions","This course is taught in an active learning style, so class attendance will be crucial. You will be expected to work for 6 hours outside of class each week, per University policy regarding work required for a 3 credit hour course.","This course is taught using a points-based system. Each week a few assignments will be released, with varying formats and point values. Your final grade will be based on the number of points you accumulate by the end of the semester.",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1500,"Section A, CRN 90913",Seminar for New CS Majors,1,F 2:20pm-3:10pm in VOTEY BLDG 105 (8/25 to 12/5),Sami Connolly,A fun and accessible breadth-first introduction to the CS community and curricula at UVM. CS faculty serve as guest lecturers to introduce new CS majors to selected topics covered in upper division UVM CS electives. Prerequisites: Computer Science or Computer Science & Information Systems majors who have not yet completed CS 2100. Co-requisite: CS 1210 or CS 2100.,"This course is intended to introduce new Computer Science majors to the UVM CS degree program.

Course goals:
- Build community among CS students and faculty
- Give students an appreciation of the breadth of CS
- Excite students about advanced CS electives
- Help students navigate the various curricular options in CS at UVM
- Help students begin for a transition to a career in CS","You will be expected to attend each lecture period and complete written assignments outside of class time. You will be expected to work for 2 hours outside of class each week, per University policy regarding work required for a 1-credit-hour course.","Your final grade will be based on pre-class writeups, post-class quizzes, and occasional homework assignments.","CS, CSIS, or Data Science majors only",Fall 2025,,"['Computer Science or Computer Science & Information Systems majors who have not yet completed CS 2100', 'CS, CSIS, or Data Science majors only']",False
CS 1640,"Section A, CRN 90230",Discrete Structures,3,MWF 1:10pm-2pm in PERKINS BUILDING 003 (8/25 to 12/5),Jeffrey Jewell,"Introduction to analytic and formal methods of computer science with practical examples, including analysis or data structures, recursion relations, proof methods, and logic programming. Credit not awarded for both CS 1640 and MATH 2055. Prerequisites: CS 1210 or CS 2100; MATH 1234 or MATH 1242.",,,,"Prereqs enforced by the system: (CS 1210 or 2100) and
(MATH 1234 or 1242);
Open to Degree and PACE students",Fall 2025,"{'AND': [{'OR': ['CS 1210', 'CS 2100']}, {'OR': ['MATH 1234', 'MATH 1242']}]}",['Open to Degree and PACE students'],False
CS 1870,"Section A, CRN 92324",Intro to Data Science,3,MWF 1:10pm-2pm in VOTEY BLDG 209 (8/25 to 12/5),Roger Tenore,"Basic techniques of data harvesting and cleaning; association rules, classification and clustering; analyze, manipulate, and visualize data using programming languages. Basic principles of probability and statistical modeling/inference to make meaning out of large datasets. Credit not awarded after STAT 3000 or greater. Cross-listed with: STAT 1870.",,,,"Cross-listed with STAT 1870 A;
Total combined enrollment: 45;
Open to Degree and PACE students",Fall 2025,,['Open to Degree and PACE students'],False
CS 1994,,Teaching Assistantship,Varies by section,,,Assist in instruction of undergraduate computer science courses under the direct supervision of a faculty member. Instructor permission required.,,,,Varies by section,Fall and Spring 2025,,['Instructor permission required'],False
CS 2100,,Intermediate Programming,Varies by section,,Jackie Horton,"Intermediate programming concepts including common data structures, algorithms, style, design, documentation, testing and debugging techniques, and an introduction to object-oriented programming. Prerequisite: CS 1210 with a grade of C- or better.",,,,Varies by section,Fall and Spring 2025,CS 1210,[],False
CS 2210,,Computer Organization,3,,Clayton Cafiero,"Introduction to computer system organization including performance, assembly language, machine-level data representation, arithmetic for computers, processor datapath control, memory, and input/output. Includes significant semester project. Cross-listed with: CMPE 2210. Prerequisite: CS 2100.",,,,Varies by section,Fall and Spring 2025,CS 2100,[],False
